text,label
chào shop,chitchat
hi shop ơi,chitchat
hello shop,chitchat
shop ơi,chitchat
alo shop,chitchat
hey shop,chitchat
chào bạn,chitchat
shop có đó không,chitchat
shop online không,chitchat
bạn ơi,chitchat
cho mình hỏi tí,chitchat
hỏi tí nhé,chitchat
mình hỏi chút,chitchat
shop cho hỏi,chitchat
ơi cho hỏi,chitchat
cảm ơn shop,chitchat
cảm ơn bạn nhé,chitchat
cảm ơn nhiều,chitchat
thanks shop,chitchat
thank you nha,chitchat
ok cảm ơn,chitchat
được rồi cảm ơn,chitchat
oke bạn nhé,chitchat
oki cảm ơn nha,chitchat
shop ở đâu vậy,chitchat
địa chỉ shop ở đâu,chitchat
shop có cửa hàng không,chitchat
shop có địa chỉ cụ thể không,chitchat
shop ở tphcm không,chitchat
shop ở hà nội không,chitchat
có freeship không,chitchat
freeship không shop,chitchat
ship miễn phí không,chitchat
có miễn phí ship không,chitchat
phí ship bao nhiêu,chitchat
phí giao hàng là bao nhiêu,chitchat
ship toàn quốc không,chitchat
có ship tỉnh không,chitchat
giao hàng mất mấy ngày,chitchat
bao lâu thì nhận được hàng,chitchat
mấy ngày giao hàng,chitchat
giao nhanh không,chitchat
có giao hỏa tốc không,chitchat
đổi trả như thế nào,chitchat
chính sách đổi trả thế nào,chitchat
mua rồi có đổi được không,chitchat
hàng lỗi thì sao,chitchat
nhận hàng lỗi phải làm sao,chitchat
bảo hành bao lâu,chitchat
có bảo hành không,chitchat
thanh toán kiểu gì,chitchat
thanh toán bằng gì,chitchat
có nhận chuyển khoản không,chitchat
có thanh toán cod không,chitchat
momo được không,chitchat
zalopay được không,chitchat
shop uy tín không,chitchat
shop có đáng tin không,chitchat
shop bán lâu chưa,chitchat
shop có review không,chitchat
mình xem feedback shop ở đâu,chitchat
shop bán hàng thật không,chitchat
hàng có đúng như ảnh không,chitchat
bạn là ai vậy,chitchat
bạn là người hay bot,chitchat
bạn là AI không,chitchat
mình đang chat với người hay máy,chitchat
bạn là chatbot à,chitchat
có nhân viên thật không,chitchat
cho mình nói chuyện với người thật,chitchat
shop mở cửa mấy giờ,chitchat
giờ làm việc của shop,chitchat
shop làm việc thứ 7 không,chitchat
chủ nhật shop có làm không,chitchat
liên hệ shop qua đâu,chitchat
số điện thoại shop,chitchat
shop có fanpage không,chitchat
inbox được không,chitchat
cho xem hàng trước khi nhận không shop,chitchat
có cho đồng kiểm không,chitchat
được thử hàng không,chitchat
nhận hàng mới trả tiền đúng không,chitchat
hàng tới đâu rồi shop,chitchat
sao lâu giao quá vậy,chitchat
khoảng mấy ngày nữa tới hà nội,chitchat
khoảng mấy ngày nữa tới đà nẵng,chitchat
khoảng mấy ngày nữa tới hcm,chitchat
ship cần thơ bao nhiêu ngày,chitchat
có ship cod không,chitchat
có gửi xe khách không shop,chitchat
gửi hỏa tốc grab được không,chitchat
giao trong ngày được không,chitchat
giao gấp cho mình nha,chitchat
hôm nay giao luôn được không,chitchat
mai mình cần gấp rồi,chitchat
giao cho shipper chưa shop,chitchat
đổi địa chỉ giao hàng được không,chitchat
đổi sđt nhận hàng nha,chitchat
shiper gọi mà mình không nghe máy,chitchat
giao lại giúp mình với,chitchat
